strategy,lookback,threshold,hold,direction,n_tickers,avg_net,win_rate,t_stat,p_value
ZScore60_BUY2.0_H3,60,-2.0,3,buy_oversold,906,0.01007005527762553,0.7902869757174393,14.39231076587401,1.9184431946925198e-42
ZScore30_BUY1.5_H15,30,-1.5,15,buy_oversold,977,0.022237856836794637,0.8116683725690891,14.273049183578328,4.071681693025758e-42
ZScore60_BUY2.0_H5,60,-2.0,5,buy_oversold,906,0.014838731039289193,0.8035320088300221,13.977790989609705,2.4115503342812713e-40
ZScore60_BUY1.5_H10,60,-1.5,10,buy_oversold,946,0.019588737980347937,0.8012684989429175,13.906069489260252,3.916136511251606e-40
ZScore20_BUY2.0_H15,20,-2.0,15,buy_oversold,952,0.02274928587820419,0.7983193277310925,13.897742162025098,4.10677948286522e-40
ZScore20_BUY1.5_H15,20,-1.5,15,buy_oversold,985,0.019352048981151754,0.8040609137055837,13.645773479042605,5.895054296308514e-39
ZScore60_BUY2.0_H10,60,-2.0,10,buy_oversold,906,0.024076473923227537,0.8024282560706402,13.57852955041164,2.3299951305441257e-38
ZScore30_BUY2.0_H15,30,-2.0,15,buy_oversold,945,0.026953801147805694,0.7936507936507936,13.564260816067044,2.0166247167612744e-38
ZScore30_BUY1.5_H10,30,-1.5,10,buy_oversold,977,0.015322923623948976,0.7952917093142272,13.53317754449571,2.27705219975699e-38
ZScore90_BUY1.5_H10,90,-1.5,10,buy_oversold,910,0.0226906229070661,0.7824175824175824,13.23026088365383,1.135742729734327e-36
ZScore60_BUY2.0_H2,60,-2.0,2,buy_oversold,906,0.006448300497046436,0.7505518763796909,12.687936955051269,4.5464501306892225e-34
ZScore60_BUY1.5_H3,60,-1.5,3,buy_oversold,946,0.007123160697493528,0.7864693446088795,12.623263223136608,7.178078837092165e-34
ZScore60_BUY1.5_H5,60,-1.5,5,buy_oversold,946,0.011222241119411258,0.7843551797040169,12.574373540536273,1.2202944126260755e-33
ZScore90_BUY1.5_H5,90,-1.5,5,buy_oversold,911,0.012626605325394627,0.7497255762897914,12.472169380405854,4.5103870282689165e-33
ZScore30_BUY2.0_H10,30,-2.0,10,buy_oversold,945,0.018561938399538867,0.7925925925925926,12.398664442329778,8.164106190092877e-33
ZScore30_BUY1.5_H5,30,-1.5,5,buy_oversold,977,0.009048216650566978,0.7993858751279427,12.372176852054274,9.158330153935613e-33
ZScore10_BUY1.5_H10,10,-1.5,10,buy_oversold,992,0.010532477193828505,0.7953629032258065,12.119078295073836,1.275463080724276e-31
ZScore90_BUY1.5_H3,90,-1.5,3,buy_oversold,911,0.007772705016764576,0.7552140504939627,12.084044876309196,2.7621003852768293e-31
ZScore30_BUY2.5_H15,30,-2.5,15,buy_oversold,762,0.028778743257890795,0.8202099737532809,12.060288668720757,8.972506297882618e-31
ZScore10_BUY1.5_H15,10,-1.5,15,buy_oversold,992,0.015072931064948617,0.8215725806451613,11.968688897771939,6.25907587336871e-31
ZScore90_BUY2.0_H5,90,-2.0,5,buy_oversold,827,0.017540410680372882,0.7908101571946796,11.847681983606725,5.107321442697104e-30
ZScore60_BUY1.5_H2,60,-1.5,2,buy_oversold,946,0.004511951804422456,0.7568710359408034,11.834283644247368,3.1413911749964773e-30
ZScore30_BUY1.5_H3,30,-1.5,3,buy_oversold,977,0.005305096100754929,0.7727737973387923,11.73744211825292,7.474854166967259e-30
ZScore60_BUY2.0_H1,60,-2.0,1,buy_oversold,906,0.003566909906834581,0.7185430463576159,11.682717590153965,1.807100818334339e-29
ZScore90_BUY1.5_H2,90,-1.5,2,buy_oversold,911,0.005011922449103481,0.743139407244786,11.517177126649598,9.516704070370458e-29
